Category,Component,Issue,Current State,Impact,Recommended Solution,Priority,Effort,Framework Opportunity
Code Organization,Hub main.cpp,Monolithic file,4631 lines in single file,Hard to maintain/test/navigate,Split into modules: WebServer HubScheduler DeviceManager ConfigManager OtaManager,Critical,High,Create HubBase library with modular components
Code Organization,Hub main.cpp,Mixed concerns,API handlers scheduler config OTA all in one file,Tight coupling hard to test,Separate into dedicated manager classes,Critical,High,Yes - create separate manager libraries
Code Organization,Hub main.cpp,36 API endpoints inline,All handlers defined inline in setupWebServer(),Hard to test and maintain,Extract to ApiController class with route registration,High,Medium,Yes - create WebApiFramework library
ArduinoJson,Hub main.cpp,Deprecated API usage,Uses DynamicJsonDocument (deprecated in v7),Compiler warnings future compatibility,Migrate to JsonDocument (v7 API),Medium,Low,Document in framework guidelines
ArduinoJson,Hub main.cpp,Inconsistent allocation,Mix of static sizes: 256 2048 4096 8192,Memory inefficiency,Standardize on JsonDocument or define size constants,Medium,Low,Create JSON helper utilities in framework
State Management,Hub main.cpp,Global static variables,~15 static maps/structs scattered throughout,Hard to track state flow,Consolidate into StateManager singleton,High,Medium,Yes - create StateManager base class
State Management,Hub main.cpp,g_lightStatus g_lightStatusPending g_channelStates,Multiple maps tracking same devices,Redundant state potential sync issues,Unify into single DeviceStateManager,High,Medium,Yes - device state framework
Configuration,Hub main.cpp,Large HubConfig struct,20+ fields in single struct,Not modular hard to extend,Split into WiFiConfig EspNowConfig OtaConfig etc,Medium,Low,Yes - create ConfigManager framework
Configuration,Hub main.cpp,Hardcoded paths,/config/*.json paths scattered throughout,Hard to change file locations,Define path constants or config object,Low,Low,Yes - PathManager utility
Error Handling,Hub main.cpp,Inconsistent error responses,Some return JSON some return text plain,Inconsistent API contract,Standardize on JSON error responses with error codes,Medium,Low,Yes - ApiResponse helper class
Error Handling,Hub main.cpp,No centralized error logging,Serial.println scattered everywhere,Hard to diagnose production issues,Create Logger class with levels,Medium,Medium,Yes - Logger framework
Node Architecture,Nodes,Inconsistent implementations,co2/heater/feeder use old NodeBase API lighting uses new,Maintenance burden confusion,Migrate all nodes to new NodeBase pattern,High,Medium,NodeBase library update
